corpus,drama,utteranceBegin,utteranceEnd,utteranceSpeakerId,mentionBegin,mentionEnd,mentionSurface,entityId
qd,11d11.0,109,245,_stage,109,114,Faust,faust
qd,11d11.0,248,1080,ariel,328,332,alle,alle
qd,11d11.0,2660,4869,faust,2824,2830,meinen,faust
qd,11d11.0,2660,4869,faust,2865,2869,mich,faust
qd,11d11.0,2660,4869,faust,3379,3383,mich,faust
qd,11d11.0,2660,4869,faust,3755,3758,ich,faust
qd,11d11.0,2660,4869,faust,3759,3763,mich,faust
qd,11d11.0,2660,4869,faust,4314,4317,mir,faust
qd,11d11.0,2660,4869,faust,4389,4392,ich,faust
qd,11d11.0,4946,5111,_stage,5046,5056,Der Kaiser,kaiser
qd,11d11.0,4946,5111,_stage,5050,5056,Kaiser,kaiser
qd,11d11.0,4946,5111,_stage,5102,5110,Astrolog,astrolog
qd,11d11.0,5114,5263,kaiser,5123,5126,Ich,kaiser
qd,11d11.0,5114,5263,kaiser,5210,5213,ich,kaiser
qd,11d11.0,5114,5263,kaiser,5214,5217,mir,kaiser
qd,11d11.0,5114,5263,kaiser,5248,5252,Narr,narr
qd,11d11.0,5425,5686,zweiter_junker,5489,5499,ein andrer,ein_andrer
qd,11d11.0,5425,5686,zweiter_junker,5493,5499,andrer,andrer
qd,11d11.0,6022,6322,kaiser,6157,6160,ich,kaiser
qd,11d11.0,6022,6322,kaiser,6168,6172,Mein,kaiser
qd,11d11.0,6022,6322,kaiser,6179,6183,Narr,narr
qd,11d11.0,6022,6322,kaiser,6198,6201,ich,kaiser
qd,11d11.0,6022,6322,kaiser,6250,6255,meine,kaiser
qd,11d11.0,6266,6322,_stage,6266,6280,Mephistopheles,mephistopheles
qd,11d11.0,6327,6491,gemurmel_der_menge,6358,6362,Narr,narr
qd,11d11.0,6934,8514,kanzler,7081,7085,alle,alle
qd,11d11.0,6934,8514,kanzler,7109,7113,alle,alle
qd,11d11.0,6934,8514,kanzler,8043,8047,alle,alle
qd,11d11.0,6934,8514,kanzler,8326,8329,Ich,kanzler
qd,11d11.0,6934,8514,kanzler,8370,8373,ich,kanzler
qd,11d11.0,6934,8514,kanzler,8451,8455,alle,alle
qd,11d11.0,6934,8514,kanzler,8467,8471,alle,alle
qd,11d11.0,8520,9206,heermeister,8685,8691,Ritter,ritter
qd,11d11.0,8520,9206,heermeister,8939,8943,alle,alle
qd,11d11.0,9982,10864,marschalk,10016,10019,ich,marschalk
qd,11d11.0,9982,10864,marschalk,10042,10046,alle,alle
qd,11d11.0,9982,10864,marschalk,10073,10077,alle,alle
qd,11d11.0,9982,10864,marschalk,10109,10112,mir,marschalk
qd,11d11.0,9982,10864,marschalk,10145,10151,Mangel,erstes_graues_weib
qd,11d11.0,9982,10864,marschalk,10623,10626,ich,marschalk
qd,11d11.0,9982,10864,marschalk,10635,10639,alle,alle
qd,11d11.0,9982,10864,marschalk,10663,10667,mich,marschalk
qd,11d11.0,10878,10920,_stage,10905,10919,Mephistopheles,mephistopheles
qd,11d11.0,10870,10966,kaiser,10936,10940,Narr,narr
qd,11d11.0,10870,10966,kaiser,10962,10965,Not,not
qd,11d11.0,10971,11314,mephistopheles,10988,10991,Ich,mephistopheles
qd,11d11.0,11320,11490,gemurmel_der_menge,11414,11417,Ich,gemurmel_der_menge
qd,11d11.0,11497,11851,mephistopheles,11782,11786,mich,mephistopheles
qd,11d11.0,11857,12604,kanzler,12243,12249,Ritter,ritter
qd,11d11.0,12610,12912,mephistopheles,12641,12644,ich,mephistopheles
qd,11d11.0,12918,13101,kaiser,13017,13020,Ich,kaiser
qd,11d11.0,13108,13662,mephistopheles,13125,13128,Ich,mephistopheles
qd,11d11.0,13884,13984,marschalk,13942,13945,Ich,marschalk
