corpus,drama,utteranceBegin,utteranceEnd,utteranceSpeakerId,mentionBegin,mentionEnd,mentionSurface,entityId
qd,11d2m.0,325,456,_stage,436,446,Prinzessin,prinzessin
qd,11d2m.0,325,456,_stage,448,455,Leonore,leonore
qd,11d2m.0,459,652,prinzessin,482,486,mich,prinzessin
qd,11d2m.0,658,1020,leonore,672,677,meine,leonore
qd,11d2m.0,658,1020,leonore,705,708,ich,leonore
qd,11d2m.0,658,1020,leonore,921,927,meiner,leonore
qd,11d2m.0,1026,1193,prinzessin,1055,1058,ich,prinzessin
qd,11d2m.0,1026,1193,prinzessin,1125,1128,Ich,prinzessin
qd,11d2m.0,1199,1406,leonore,1218,1221,ich,leonore
qd,11d2m.0,1199,1406,leonore,1222,1228,meinen,leonore
qd,11d2m.0,1412,1751,prinzessin,1425,1429,Mein,prinzessin
qd,11d2m.0,1412,1751,prinzessin,1590,1593,Ich,prinzessin
qd,11d2m.0,1412,1751,prinzessin,1618,1621,ich,prinzessin
qd,11d2m.0,1412,1751,prinzessin,1729,1732,mir,prinzessin
qd,11d2m.0,2247,2345,prinzessin,2268,2271,mir,prinzessin
qd,11d2m.0,2247,2345,prinzessin,2316,2321,meine,prinzessin
qd,11d2m.0,2247,2345,prinzessin,2331,2334,mir,prinzessin
qd,11d2m.0,2351,2445,leonore,2369,2373,mich,leonore
qd,11d2m.0,2351,2445,leonore,2427,2430,ich,leonore
qd,11d2m.0,2549,2982,leonore,2598,2602,mich,leonore
qd,11d2m.0,2549,2982,leonore,2622,2626,mich,leonore
qd,11d2m.0,2549,2982,leonore,2646,2649,Ich,leonore
qd,11d2m.0,3097,4124,leonore,3509,3512,Mir,leonore
qd,11d2m.0,3097,4124,leonore,3645,3651,meinem,leonore
qd,11d2m.0,3097,4124,leonore,3683,3686,ich,leonore
qd,11d2m.0,3097,4124,leonore,3687,3691,mich,leonore
qd,11d2m.0,3097,4124,leonore,3712,3715,ich,leonore
qd,11d2m.0,4130,4225,prinzessin,4200,4203,ich,prinzessin
qd,11d2m.0,4231,4707,leonore,4300,4304,mich,leonore
qd,11d2m.0,4231,4707,leonore,4348,4351,ich,leonore
qd,11d2m.0,4822,5129,leonore,4929,4933,mich,leonore
qd,11d2m.0,5135,6404,prinzessin,5148,5152,Mich,prinzessin
qd,11d2m.0,5135,6404,prinzessin,5163,5170,Leonore,leonore
qd,11d2m.0,5135,6404,prinzessin,5192,5195,ich,prinzessin
qd,11d2m.0,5135,6404,prinzessin,5349,5352,ich,prinzessin
qd,11d2m.0,5135,6404,prinzessin,5538,5541,ich,prinzessin
qd,11d2m.0,5135,6404,prinzessin,5561,5564,ich,prinzessin
qd,11d2m.0,5135,6404,prinzessin,5611,5614,Mir,prinzessin
qd,11d2m.0,5135,6404,prinzessin,5630,5633,mir,prinzessin
qd,11d2m.0,5135,6404,prinzessin,5654,5657,Ich,prinzessin
qd,11d2m.0,5135,6404,prinzessin,5664,5668,mich,prinzessin
qd,11d2m.0,5135,6404,prinzessin,5703,5706,ich,prinzessin
qd,11d2m.0,5135,6404,prinzessin,5984,5987,Ich,prinzessin
qd,11d2m.0,5135,6404,prinzessin,6005,6008,mir,prinzessin
qd,11d2m.0,5135,6404,prinzessin,6033,6036,Ich,prinzessin
qd,11d2m.0,6410,6743,leonore,6669,6672,Ich,leonore
qd,11d2m.0,6410,6743,leonore,6679,6683,mich,leonore
qd,11d2m.0,6749,7311,prinzessin,6795,6798,mir,prinzessin
qd,11d2m.0,7317,8093,leonore,7327,7330,Ich,leonore
qd,11d2m.0,7317,8093,leonore,7335,7338,mir,leonore
qd,11d2m.0,7317,8093,leonore,7381,7385,mich,leonore
qd,11d2m.0,7317,8093,leonore,7407,7411,mich,leonore
qd,11d2m.0,7317,8093,leonore,7425,7428,Ich,leonore
qd,11d2m.0,7317,8093,leonore,7469,7472,ich,leonore
qd,11d2m.0,7317,8093,leonore,7483,7488,Tasso,tasso
qd,11d2m.0,8099,8498,prinzessin,8208,8211,mir,prinzessin
qd,11d2m.0,8504,9135,leonore,8514,8517,Ich,leonore
qd,11d2m.0,8504,9135,leonore,8524,8528,mich,leonore
qd,11d2m.0,9141,9226,prinzessin,9218,9225,Leonore,leonore
qd,11d2m.0,9232,10032,leonore,9266,9272,meiner,leonore
qd,11d2m.0,9232,10032,leonore,9279,9282,Ich,leonore
qd,11d2m.0,9232,10032,leonore,9321,9325,Mich,leonore
qd,11d2m.0,9232,10032,leonore,9402,9405,Ich,leonore
qd,11d2m.0,9232,10032,leonore,9427,9433,meiner,leonore
qd,11d2m.0,9232,10032,leonore,9733,9739,meinem,leonore
qd,11d2m.0,9232,10032,leonore,9805,9808,ich,leonore
qd,11d2m.0,10038,10204,prinzessin,10118,10121,mir,prinzessin
