corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,11g3h.0,280,589,KÖNIG,könig,Das,ART,der,25887,,
qd,11g3h.0,280,589,KÖNIG,könig,flücht,ADJD,flüchen,25887,,
qd,11g3h.0,280,589,KÖNIG,könig,',$[,--,25887,,
qd,11g3h.0,280,589,KÖNIG,könig,ge,ADJA,GE,25887,,
qd,11g3h.0,280,589,KÖNIG,könig,Ziel,NN,ziel,25887,,
qd,11g3h.0,280,589,KÖNIG,könig,",","$,",--,25887,,
qd,11g3h.0,280,589,KÖNIG,könig,das,ART,der,25887,,
qd,11g3h.0,280,589,KÖNIG,könig,Hunde,NN,hund,25887,,
qd,11g3h.0,280,589,KÖNIG,könig,",","$,",--,25887,,
qd,11g3h.0,280,589,KÖNIG,könig,Roß,NN,roß,25887,,
qd,11g3h.0,280,589,KÖNIG,könig,und,KON,und,25887,,
qd,11g3h.0,280,589,KÖNIG,könig,Mann,NN,mann,25887,,
qd,11g3h.0,280,589,KÖNIG,könig,",","$,",--,25887,,
qd,11g3h.0,280,589,KÖNIG,könig,Auf,APPR,auf,25887,,
qd,11g3h.0,280,589,KÖNIG,könig,seine,PPOSAT,sein,25887,,
qd,11g3h.0,280,589,KÖNIG,könig,Fährte,NN,fährte,25887,,
qd,11g3h.0,280,589,KÖNIG,könig,bannend,ADJD,bannend,25887,,
qd,11g3h.0,280,589,KÖNIG,könig,",","$,",--,25887,,
qd,11g3h.0,280,589,KÖNIG,könig,nach,APPR,nach,25887,,
qd,11g3h.0,280,589,KÖNIG,könig,sich,PRF,sich,25887,,
qd,11g3h.0,280,589,KÖNIG,könig,reißt,VVFIN,reißen,25887,,
qd,11g3h.0,280,589,KÖNIG,könig,",","$,",--,25887,,
qd,11g3h.0,280,589,KÖNIG,könig,Der,ART,der,25887,,
qd,11g3h.0,280,589,KÖNIG,könig,edle,ADJA,edel,25887,,
qd,11g3h.0,280,589,KÖNIG,könig,Hirsch,NN,hirsch,25887,,
qd,11g3h.0,280,589,KÖNIG,könig,",","$,",--,25887,,
qd,11g3h.0,280,589,KÖNIG,könig,hat,VAFIN,haben,25887,,
qd,11g3h.0,280,589,KÖNIG,könig,über,APPR,über,25887,,
qd,11g3h.0,280,589,KÖNIG,könig,Berg,NN,berg,25887,,
qd,11g3h.0,280,589,KÖNIG,könig,und,KON,und,25887,,
qd,11g3h.0,280,589,KÖNIG,könig,Tal,NN,tal,25887,,
qd,11g3h.0,280,589,KÖNIG,könig,So,ADV,so,25887,,
qd,11g3h.0,280,589,KÖNIG,könig,weit,ADJD,weit,25887,,
qd,11g3h.0,280,589,KÖNIG,könig,uns,PRF,uns,25887,,
qd,11g3h.0,280,589,KÖNIG,könig,irr,ITJ,irr,25887,,
qd,11g3h.0,280,589,KÖNIG,könig,',$[,--,25887,,
qd,11g3h.0,280,589,KÖNIG,könig,geführt,VVPP,führen,25887,,
qd,11g3h.0,280,589,KÖNIG,könig,",","$,",--,25887,,
qd,11g3h.0,280,589,KÖNIG,könig,daß,KOUS,daß,25887,,
qd,11g3h.0,280,589,KÖNIG,könig,ich,PPER,ich,25887,könig,(0)
qd,11g3h.0,280,589,KÖNIG,könig,mich,PRF,mich,25887,könig,(0)
qd,11g3h.0,280,589,KÖNIG,könig,selbst,ADV,selbst,25887,,
qd,11g3h.0,280,589,KÖNIG,könig,",","$,",--,25887,,
qd,11g3h.0,280,589,KÖNIG,könig,Obgleich,KOUS,obgleich,25887,,
qd,11g3h.0,280,589,KÖNIG,könig,so,ADV,so,25887,,
qd,11g3h.0,280,589,KÖNIG,könig,landeskundig,ADJD,landeskundig,25887,,
qd,11g3h.0,280,589,KÖNIG,könig,",","$,",--,25887,,
qd,11g3h.0,280,589,KÖNIG,könig,hier,ADV,hier,25887,,
qd,11g3h.0,280,589,KÖNIG,könig,nicht,PTKNEG,nicht,25887,,
qd,11g3h.0,280,589,KÖNIG,könig,finde,VVFIN,finden,25887,,
