corpus,drama,figure_surface,figure_id,Gender,Age
qd,11g5g.0,LIEBE,liebe,,
qd,11g5g.0,EPIMENIDES,epimenides,,
qd,11g5g.0,PFAFFE,pfaffe,,
qd,11g5g.0,CHOR DER FRAUEN,chor_der_frauen,,
qd,11g5g.0,UNSICHTBARES CHOR,unsichtbares_chor,,
qd,11g5g.0,DÄMONEN DER LIST,dämonen_der_list,,
qd,11g5g.0,GENIUS I,genius_i,,
qd,11g5g.0,CHOR,chor,,
qd,11g5g.0,GENIUS II,genius_ii,,
qd,11g5g.0,JURIST,jurist,,
qd,11g5g.0,DÄMON DER LIST,dämon_der_list,,
qd,11g5g.0,DÄMON DES KRIEGS,dämon_des_kriegs,,
qd,11g5g.0,PRIESTER,priester,,
qd,11g5g.0,HOFMANN,hofmann,,
qd,11g5g.0,CHOR DER KRIEGER,chor_der_krieger,,
qd,11g5g.0,LUSTIGE PERSON,lustige_person,,
qd,11g5g.0,DIPLOMAT,diplomat,,
qd,11g5g.0,GENIEN,genien,,
qd,11g5g.0,DAME,dame,,
qd,11g5g.0,SÄMTLICHE CHÖRE,sämtliche_chöre,,
qd,11g5g.0,HEERESZUG,heereszug,,
qd,11g5g.0,HOFFNUNG,hoffnung,,
qd,11g5g.0,DIE MUSE,die_muse,,
qd,11g5g.0,JUGENDFÜRST,jugendfürst,,
qd,11g5g.0,DÄMON DER UNTERDRÜCKUNG,dämon_der_unterdrückung,,
qd,11g5g.0,GLAUBE,glaube,,
qd,11g5g.0,LANDBEWOHNER,landbewohner,,
qd,11g5g.0,DIE EINIGKEIT,die_einigkeit,,
