"","token","tag","pos","category","funct","case","pers","num","gender","tense","mode"
"1","Klagen","N.Reg.Nom.Pl.Fem","N","Reg",NA,"Nom",NA,"Pl","Fem",NA,NA
"2",",","SYM.Pun.Comma","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"3","nichts","PRO.Indef.Subst.-.*.*.Neut","PRO","Indef","Subst",NA,NA,NA,"Neut",NA,NA
"4","als","CONJ.Comp.-","CONJ","Comp",NA,NA,NA,NA,NA,NA,NA
"5","Klagen","N.Reg.Nom.Pl.Fem","N","Reg",NA,"Nom",NA,"Pl","Fem",NA,NA
"6","!","SYM.Pun.Sent","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"7","Bittschriften","N.Reg.Nom.Pl.Fem","N","Reg",NA,"Nom",NA,"Pl","Fem",NA,NA
"8",",","SYM.Pun.Comma","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"9","nichts","PRO.Indef.Subst.-.*.*.Neut","PRO","Indef","Subst",NA,NA,NA,"Neut",NA,NA
"10","als","CONJ.Comp.-","CONJ","Comp",NA,NA,NA,NA,NA,NA,NA
"11","Bittschriften","N.Reg.Nom.Pl.Fem","N","Reg",NA,"Nom",NA,"Pl","Fem",NA,NA
"12","!","SYM.Pun.Sent","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"13","–","CARD","CARD",NA,NA,NA,NA,NA,NA,NA,NA
"14","Die","ART.Def.Nom.Pl.Neut","ART","Def",NA,"Nom",NA,"Pl","Neut",NA,NA
"15","traurigen","ADJA.Pos.Nom.Pl.Neut","ADJA","Pos",NA,"Nom",NA,"Pl","Neut",NA,NA
"16","Geschäfte","N.Reg.Nom.Pl.Neut","N","Reg",NA,"Nom",NA,"Pl","Neut",NA,NA
"17",";","SYM.Pun.Sent","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"18","und","CONJ.Coord.-","CONJ","Coord",NA,NA,NA,NA,NA,NA,NA
"19","man","PRO.Indef.Subst.-.Nom.Sg.*","PRO","Indef","Subst","Nom",NA,"Sg",NA,NA,NA
"20","beneidet","VFIN.Full.3.Sg.Pres.Ind","VFIN","Full",NA,NA,"3","Sg",NA,"Pres","Ind"
"21","uns","PRO.Pers.Subst.1.Acc.Pl.*","PRO","Pers","Subst","Acc","1","Pl",NA,NA,NA
"22","noch","ADV","ADV",NA,NA,NA,NA,NA,NA,NA,NA
"23","!","SYM.Pun.Sent","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"24","–","N.Reg.Nom.Sg.Masc","N","Reg",NA,"Nom",NA,"Sg","Masc",NA,NA
"25","Das","ART.Def.Nom.Sg.Neut","ART","Def",NA,"Nom",NA,"Sg","Neut",NA,NA
"26","glaub","VIMP.Full.2.Sg","VIMP","Full",NA,NA,"2","Sg",NA,NA,NA
"27","'","SYM.Quot.Right","SYM",NA,"Right",NA,NA,NA,NA,NA,NA
"28","ich","PRO.Pers.Subst.1.Nom.Sg.*","PRO","Pers","Subst","Nom","1","Sg",NA,NA,NA
"29",";","SYM.Pun.Sent","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"30","wenn","CONJ.SubFin.-","CONJ","SubFin",NA,NA,NA,NA,NA,NA,NA
"31","wir","PRO.Pers.Subst.1.Nom.Pl.*","PRO","Pers","Subst","Nom","1","Pl",NA,NA,NA
"32","allen","PRO.Indef.Subst.-.Dat.Pl.*","PRO","Indef","Subst","Dat",NA,"Pl",NA,NA,NA
"33","helfen","VINF.Full.-","VINF","Full",NA,NA,NA,NA,NA,NA,NA
"34","könnten","VFIN.Mod.1.Pl.Past.Subj","VFIN","Mod",NA,NA,"1","Pl",NA,"Past","Subj"
"35",":","SYM.Pun.Colon","SYM","Pun",NA,NA,NA,NA,NA,NA,NA
"36","dann","ADV","ADV",NA,NA,NA,NA,NA,NA,NA,NA
"37","wären","VFIN.Sein.1.Pl.Past.Subj","VFIN",NA,NA,NA,"1","Pl",NA,"Past","Subj"
"38","wir","PRO.Pers.Subst.1.Nom.Pl.*","PRO","Pers","Subst","Nom","1","Pl",NA,NA,NA
"39","zu","PART.Zu","PART","Zu",NA,NA,NA,NA,NA,NA,NA
"40","beneiden","VINF.Full.-","VINF","Full",NA,NA,NA,NA,NA,NA,NA
"41",".","SYM.Pun.Sent","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"42","–","N.Name.*.*.*","N","Name",NA,NA,NA,NA,NA,NA,NA
"43","Emilia","N.Name.*.*.*","N","Name",NA,NA,NA,NA,NA,NA,NA
"44","?","SYM.Pun.Sent","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"45","Eine","ART.Indef.Acc.Sg.*","ART","Indef",NA,"Acc",NA,"Sg",NA,NA,NA
"46","Emilia","N.Name.*.*.*","N","Name",NA,NA,NA,NA,NA,NA,NA
"47","?","SYM.Pun.Sent","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"48","–","N.Name.*.*.*","N","Name",NA,NA,NA,NA,NA,NA,NA
"49","Aber","CONJ.Coord.Aber","CONJ","Coord",NA,NA,NA,NA,NA,NA,NA
"50","eine","PRO.Indef.Subst.-.Nom.Sg.Fem","PRO","Indef","Subst","Nom",NA,"Sg","Fem",NA,NA
"51","Emilia","N.Name.*.*.*","N","Name",NA,NA,NA,NA,NA,NA,NA
"52","Bruneschi","N.Name.*.*.*","N","Name",NA,NA,NA,NA,NA,NA,NA
"53","–","CARD","CARD",NA,NA,NA,NA,NA,NA,NA,NA
"54","nicht","PART.Neg","PART","Neg",NA,NA,NA,NA,NA,NA,NA
"55","Galotti","N.Reg.Acc.Sg.*","N","Reg",NA,"Acc",NA,"Sg",NA,NA,NA
